Exported Data from KCMS (Python)
,Overall Rank,Overall Points,Long Jump Result,Long Jump Placing,Long Jump Point,Javelin Result,Javelin Placing,Javelin Point,200m Result,200m Placing,200m Point,Discus Result,Discus Placing,Discus Point,1500m Result,1500m Placing,1500m Point
Josiah Crosby,694,0,43789.61,555,0,45942.73,459,0,81156.51,815,0,32282.05,674,0,70003.39,690,0
Imani Hanna,695,0,77277.14,217,0,48885.69,487,0,43064.11,453,0,14356.84,868,0,77625.2,770,0
Cecilia Noble,696,0,49282.93,507,0,79293.35,783,0,40243.75,418,0,2420.25,983,0,71580.55,707,0
Piper Wagner,697,0,13878.7,827,0,21671.89,209,0,93305.32,930,0,50453.91,506,0,80896.57,802,0
Giana Frank,698,0,12937.6,839,0,70752.27,705,0,1939.44,26,0,53822.700000000004,479,0,41435.55,410,0
Ryan Dean,699,0,42618.520000000004,566,0,41621.01,425,0,78901.58,788,0,714.65,996,0,11631.04,107,0
Izabella Anthony,700,0,43801.65,553,0,6153.97,71,0,12241.82,116,0,3495.61,971,0,3550.59,33,0
Vance Rich,701,0,61064.15,382,0,2599.54,33,0,73127.98,728,0,78811.74,227,0,21961.49,206,0
Skye Hunter,702,0,2928.11,958,0,87834.11,869,0,43422.64,456,0,3972.9900000000002,968,0,67066.62,661,0
Kenzie Villa,703,0,11581.75,864,0,36944.04,382,0,96860.39,968,0,5292.03,954,0,65142.85,632,0
John Maxwell,704,0,76787.04000000001,222,0,55255.82,545,0,97708.43000000001,976,0,95120.74,55,0,71356.3,704,0
Cierra Schwartz,705,0,28765.22,677,0,71562.3,709,0,48300.67,505,0,67489.08,336,0,55917.56,556,0
Alfredo Baxter,706,0,26545.23,701,0,29491.010000000002,300,0,12357.76,119,0,23540.27,772,0,86514.89,862,0
Kelvin Harmon,707,0,74041.13,255,0,49636.69,499,0,67428.8,676,0,85154.7,155,0,70641.77,695,0
Maggie Mccarthy,708,0,35919.29,613,0,49140.75,493,0,91070.14,905,0,41207.62,587,0,13392.37,122,0
Leila Robles,709,0,54795.78,449,0,22760.04,221,0,92335.83,918,0,80503.6,205,0,48440.22,476,0
Shania Mccullough,710,0,67574.85,316,0,60467.1,595,0,7132.58,66,0,40450.450000000004,599,0,66797.6,659,0
Aryana Shepard,711,0,57593.23,411,0,53450.75,530,0,23074.21,226,0,56137.200000000004,450,0,89192.61,887,0
Brady Stafford,712,0,15032.77,814,0,30984.81,318,0,10176.16,99,0,39209.91,612,0,74476.94,735,0
Jeramiah Good,713,0,52121.770000000004,474,0,69515.25,693,0,93782.51,935,0,93520.67,77,0,21185.48,201,0
Kaitlin Bradshaw,714,0,85384.32,139,0,5722.09,64,0,70605.13,707,0,54262.700000000004,473,0,10821.12,95,0
Troy Dickerson,715,0,81114.40000000001,176,0,69336.96,690,0,77427.15000000001,769,0,14607.66,866,0,23231.25,218,0
Gabriella Welch,716,0,48297.91,517,0,53096.68,527,0,87041.01,864,0,18184.4,825,0,10503.81,88,0
Jamir Montes,717,0,2294.16,971,0,31139.02,325,0,45860.75,479,0,73025.40000000001,285,0,57331.68,570,0
Julio Hays,718,0,77479.90000000001,213,0,18950.14,182,0,10504.130000000001,100,0,21303.89,794,0,86776.6,866,0
Jon Armstrong,719,0,87881.59,116,0,66543.16,658,0,18044.93,182,0,21245.16,796,0,54315.32,540,0
Tobias Herman,720,0,72073.16,275,0,16125.52,154,0,15694.0,152,0,30548.7,689,0,13524.84,125,0
Kaelyn Curtis,721,0,13309.45,833,0,61957.73,615,0,14596.380000000001,141,0,95352.38,52,0,99378.25,998,0
Yareli Daniels,722,0,36796.67,606,0,3425.83,39,0,50469.96,524,0,32710.64,671,0,29670.0,279,0
Nikolas Perry,723,0,74099.16,252,0,3974.2200000000003,46,0,98915.52,994,0,14288.130000000001,870,0,30484.75,293,0
Tristan Bowers,724,0,62110.86,369,0,28927.59,293,0,51302.35,531,0,15494.07,854,0,13634.17,127,0
Melanie Reynolds,725,0,3389.44,951,0,31248.36,328,0,31705.66,320,0,79007.33,225,0,40560.98,396,0
Breanna Baxter,726,0,76202.5,230,0,94624.54000000001,934,0,24093.03,240,0,37239.37,633,0,17660.38,175,0
Kobe Howe,727,0,86574.51,132,0,18293.49,176,0,71481.92,719,0,21283.29,795,0,71129.07,700,0
Grace Martin,728,0,5466.7300000000005,920,0,19261.44,188,0,49290.91,513,0,18694.96,820,0,34103.91,331,0
Bianca James,729,0,42593.86,567,0,88278.05,875,0,92481.88,919,0,44388.46,561,0,93818.25,936,0
Elsa Koch,730,0,43794.86,554,0,52762.700000000004,524,0,12653.43,123,0,91514.52,97,0,69684.09,687,0
Kaydence Randolph,731,0,22932.8,739,0,97885.16,978,0,77049.97,762,0,72017.63,293,0,56425.91,563,0
Alison Prince,732,0,76760.39,223,0,86037.09,845,0,20620.66,202,0,38185.91,621,0,46503.44,458,0
Precious Warren,733,0,34949.86,626,0,51724.36,513,0,49668.06,521,0,39022.32,615,0,37328.67,364,0
Ernesto Becker,734,0,5208.18,923,0,4953.68,60,0,65922.42,660,0,9477.91,913,0,4592.38,40,0
Clayton Kelly,735,0,71140.77,287,0,11410.92,113,0,55451.58,574,0,83251.56,170,0,29573.24,278,0
Keyla Mccoy,736,0,26913.73,699,0,73074.29000000001,728,0,65457.380000000005,655,0,19942.28,808,0,60486.62,591,0
Christopher Ball,737,0,68164.82,313,0,6215.85,72,0,34853.07,354,0,94229.03,68,0,91052.75,911,0
Janessa Pittman,738,0,42926.29,563,0,48676.8,483,0,80910.31,804,0,71489.81,295,0,72755.24,717,0
Porter Caldwell,739,0,97195.63,30,0,41529.88,421,0,1648.5900000000001,21,0,3102.01,976,0,76477.01,751,0
Karter Morse,740,0,98653.81,17,0,35365.35,370,0,9476.050000000001,91,0,65903.69,352,0,17727.23,177,0
Jane Fuller,741,0,6580.650000000001,909,0,39400.83,404,0,26360.47,260,0,6647.93,937,0,6753.13,55,0
Ruth Moran,742,0,67691.04000000001,315,0,67401.21,670,0,41186.64,432,0,55607.58,455,0,78679.41,783,0
Cordell Montes,743,0,78660.31,199,0,38032.87,387,0,24742.43,248,0,14331.02,869,0,49601.87,488,0
Cyrus Browning,744,0,66963.35,320,0,78939.92,781,0,12762.87,125,0,61351.46,389,0,94175.74,939,0
Pedro Sweeney,745,0,35578.78,619,0,88732.88,881,0,48274.58,504,0,66059.66,351,0,32985.87,320,0
Meghan Luna,746,0,24401.21,726,0,60889.41,600,0,78652.11,783,0,10486.82,903,0,29933.850000000002,283,0
Judith Mayer,747,0,72113.13,273,0,97019.05,967,0,35313.840000000004,360,0,99284.22,5,0,62835.25,608,0
Marley Murillo,748,0,90519.69,90,0,99377.05,992,0,42580.770000000004,445,0,64149.23,368,0,27240.86,252,0
Shayla Blackburn,749,0,19584.420000000002,774,0,4579.0,54,0,96182.63,962,0,1344.76,992,0,31470.72,302,0
Gaven Salazar,750,0,4408.1,933,0,66751.13,663,0,96825.92,967,0,94136.5,70,0,39661.01,383,0
Selah Barber,751,0,22984.02,738,0,71227.69,707,0,28922.33,286,0,31481.66,684,0,81997.0,819,0
Caleb Stephens,752,0,57100.15,419,0,27699.39,278,0,60219.67,610,0,34617.15,652,0,50601.770000000004,507,0
Dax Fleming,753,0,41727.26,572,0,76327.75,756,0,2480.34,29,0,62225.33,382,0,59591.78,588,0
Sofia Peters,754,0,95465.46,43,0,86393.09,846,0,20532.38,201,0,37526.8,629,0,68757.61,677,0
Irvin Lambert,755,0,67067.33,319,0,68812.03,685,0,75709.78,752,0,57671.36,434,0,29164.77,273,0
Gabrielle Morse,756,0,16056.7,798,0,22117.760000000002,215,0,8210.91,80,0,79995.49,210,0,38666.08,377,0
Oswaldo Arroyo,757,0,35850.85,614,0,89281.42,886,0,58609.78,597,0,38162.15,622,0,31722.99,305,0
London Simpson,758,0,65979.99,331,0,70306.89,698,0,81392.23,819,0,23640.34,771,0,65960.01,645,0
Dean Lambert,759,0,24360.37,727,0,97519.06,972,0,68453.09,688,0,6998.92,934,0,28587.16,264,0
Mallory Bird,760,0,79978.72,190,0,38742.62,397,0,70454.2,706,0,92258.73,90,0,8319.25,74,0
Aryan Key,761,0,57895.26,407,0,79027.5,782,0,57719.950000000004,592,0,11470.22,887,0,83479.2,835,0
Charlie Tanner,762,0,56685.96,427,0,77538.76,766,0,23293.12,228,0,34447.26,655,0,98787.54000000001,995,0
Mateo Hopkins,763,0,44973.13,543,0,18091.34,174,0,81034.73,812,0,58884.9,424,0,47701.93,466,0
Houston Heath,764,0,25246.100000000002,713,0,97349.01,970,0,14733.210000000001,144,0,80507.62,204,0,97368.91,976,0
Erika Reese,765,0,4815.18,931,0,60493.87,596,0,13203.800000000001,129,0,82839.40000000001,177,0,36163.590000000004,353,0
Kendal Zavala,766,0,49225.62,509,0,97341.6,969,0,1378.58,17,0,97040.95,32,0,79805.41,794,0
Josie Rasmussen,767,0,88755.34,104,0,96428.01,963,0,75783.76,754,0,74950.92,259,0,90673.68000000001,906,0
Payton Morgan,768,0,48032.26,520,0,95110.68000000001,941,0,65066.96,652,0,87087.6,145,0,41815.72,416,0
Devan Young,769,0,4194.25,938,0,89956.01,893,0,45076.88,466,0,75026.06,258,0,40882.72,401,0
Kayla Walsh,770,0,30237.670000000002,659,0,49421.01,497,0,35880.55,366,0,9737.74,908,0,35148.37,340,0
Ezra Palmer,771,0,41354.43,575,0,47254.05,471,0,1240.0,15,0,77330.06,237,0,85810.22,854,0
Konner Khan,772,0,65255.0,339,0,45466.13,452,0,61569.49,621,0,55054.82,462,0,17644.87,174,0
Jaylin Ware,773,0,91710.51,76,0,60029.35,591,0,23813.73,235,0,88953.08,118,0,94476.85,942,0
Sarai Baxter,774,0,95460.84,44,0,43379.42,442,0,89420.37,888,0,68811.7,319,0,60017.33,589,0
Gisselle Chambers,775,0,38041.99,592,0,19919.43,193,0,1238.38,14,0,70710.14,302,0,65731.41,639,0
Cody Jacobson,776,0,92341.67,71,0,32945.85,345,0,84291.81,844,0,87790.74,137,0,34483.64,336,0
Sylvia Espinoza,777,0,47778.520000000004,524,0,34162.89,357,0,77121.04000000001,763,0,31624.71,681,0,42746.3,425,0
Dayami Bullock,778,0,14297.48,824,0,22803.95,223,0,52554.11,539,0,99548.42,4,0,98025.95,983,0
Marisa Ayers,779,0,93717.63,58,0,18314.38,177,0,62083.29,626,0,11060.07,893,0,54083.86,538,0
Karter Booker,780,0,25129.45,715,0,66977.12,666,0,90532.05,901,0,84222.99,162,0,19031.23,188,0
Chad Waller,781,0,21952.49,748,0,14519.0,142,0,89106.74,884,0,5312.21,953,0,90754.34,909,0
Aryana Pena,782,0,13508.5,831,0,66164.57,651,0,81005.82,811,0,67183.55,340,0,70757.36,697,0
Holly Tyler,783,0,1225.98,983,0,66168.35,652,0,31129.27,309,0,52948.270000000004,486,0,95171.54000000001,948,0
Lina Baxter,784,0,58201.68,402,0,60924.1,601,0,66014.08,661,0,58603.36,425,0,13832.29,128,0
Owen Hopkins,785,0,86334.1,134,0,67195.64,667,0,27953.57,272,0,29061.32,706,0,41792.1,415,0
Davion Norton,786,0,77741.06,208,0,86600.52,851,0,44242.91,461,0,24558.73,760,0,12655.64,119,0
Karina Curry,787,0,99516.64,7,0,64776.05,641,0,33280.65,333,0,15987.32,849,0,44479.97,444,0
Darnell Curry,788,0,22626.0,741,0,64732.11,640,0,53773.97,551,0,32944.93,668,0,84615.65000000001,843,0
Adriana Jenkins,789,0,65533.36,336,0,10410.460000000001,103,0,75522.97,750,0,28275.170000000002,719,0,30900.7,296,0
Julissa Norris,790,0,35802.86,617,0,39004.92,401,0,40856.43,427,0,15910.16,851,0,27827.98,257,0
Armani Kent,791,0,69424.75,300,0,34305.08,359,0,69898.68000000001,695,0,52058.43,492,0,36682.020000000004,357,0
Ashlynn Robertson,792,0,19334.62,775,0,99432.40000000001,996,0,16189.98,163,0,39298.62,611,0,11163.49,100,0
Demarion Knight,793,0,4023.4500000000003,944,0,13768.36,134,0,78739.25,784,0,80432.8,206,0,15300.12,146,0
Jaqueline Harrington,794,0,65290.75,338,0,54911.96,543,0,85498.24,851,0,16974.38,835,0,63897.79,625,0
Yamilet Blanchard,795,0,85301.71,142,0,29836.3,306,0,83111.93000000001,831,0,16862.38,838,0,44447.14,443,0
Braylen Wang,796,0,56517.46,428,0,33158.090000000004,348,0,95166.61,958,0,28998.760000000002,707,0,3889.05,35,0
Scarlett Barry,797,0,94830.71,48,0,70125.14,697,0,98719.45,991,0,69839.63,309,0,81405.91,806,0
Avery Tate,798,0,32853.99,650,0,57988.54,573,0,5929.87,53,0,11456.32,888,0,6609.66,53,0
Bernard Russo,799,0,13155.14,836,0,50107.54,505,0,92556.2,921,0,61037.61,393,0,69221.91,679,0
Crystal Velazquez,800,0,2743.86,964,0,64324.16,636,0,79826.74,796,0,60711.98,398,0,78757.56,785,0
Weston Robertson,801,0,13925.69,826,0,74641.07,743,0,1557.95,20,0,64543.770000000004,360,0,77799.11,773,0
Aliana Gutierrez,802,0,27910.54,686,0,27774.97,280,0,45299.42,472,0,71081.76,299,0,66260.44,652,0
Ramiro Flores,803,0,69174.3,304,0,84447.62,830,0,7301.2300000000005,67,0,49327.94,516,0,12765.9,120,0
Jaylah Hayes,804,0,29261.57,673,0,95466.79000000001,952,0,9005.79,89,0,89369.62,112,0,66200.72,650,0
Fernanda Shelton,805,0,15997.890000000001,801,0,19268.11,189,0,33494.94,339,0,89138.85,116,0,46135.4,453,0
Priscilla Crane,806,0,14846.36,817,0,77869.84,767,0,4800.97,42,0,61905.42,386,0,17866.39,179,0
Marquis Ray,807,0,6831.39,908,0,32874.38,343,0,83468.01,838,0,72887.03,287,0,24698.55,231,0
Kayden Tyler,808,0,55429.86,440,0,88029.61,870,0,75268.57,747,0,74677.6,264,0,32996.37,321,0
Joey Mcmahon,809,0,71198.46,286,0,58370.43,579,0,42647.340000000004,446,0,10756.98,899,0,15100.35,145,0
Joshua Conrad,810,0,81238.55,175,0,38117.93,389,0,23492.38,230,0,82859.67,176,0,50381.9,499,0
London Kaufman,811,0,9041.18,890,0,25666.46,254,0,36240.83,369,0,67214.93000000001,339,0,86185.63,858,0
Quinten Mccullough,812,0,5576.2300000000005,919,0,10644.09,106,0,32232.29,323,0,79327.78,220,0,45427.590000000004,450,0
Tyshawn Morrison,813,0,10781.17,871,0,20115.02,195,0,62692.68,631,0,49883.08,510,0,37656.85,368,0
Zane Barajas,814,0,72625.75,271,0,21815.89,210,0,95057.93000000001,955,0,25315.59,749,0,24390.95,227,0
Maria Dougherty,815,0,66270.39,329,0,72693.08,723,0,18602.13,186,0,4692.33,960,0,74202.44,734,0
Henry Best,816,0,25784.7,706,0,98991.39,986,0,89327.09,886,0,14633.630000000001,865,0,47201.05,462,0
Bruce Petersen,817,0,18709.34,783,0,66718.65,661,0,72050.7,723,0,26726.0,734,0,94806.76,944,0
Janet Barrett,818,0,64800.89,345,0,71562.91,710,0,76577.54000000001,758,0,49950.92,509,0,6037.77,46,0
Aidyn Snyder,819,0,38022.950000000004,593,0,26445.850000000002,261,0,6953.67,64,0,94663.17,63,0,96055.56,961,0
Cason Johnston,820,0,29185.18,674,0,45626.37,456,0,21476.77,213,0,41068.17,589,0,87187.57,871,0
Isabelle Harding,821,0,56371.64,430,0,4396.37,53,0,67944.86,683,0,25761.49,745,0,11960.24,109,0
Asia Fry,822,0,82907.05,163,0,70445.18000000001,699,0,53924.83,555,0,50545.89,505,0,38010.15,372,0
Maia Rangel,823,0,61237.07,380,0,38875.25,398,0,12449.07,120,0,7928.4400000000005,926,0,25256.52,234,0
Andy Graham,824,0,82076.35,165,0,43080.19,437,0,93437.46,932,0,46149.29,541,0,5088.79,44,0
Paulina Paul,825,0,21690.14,751,0,62733.83,624,0,86809.76,861,0,94951.72,58,0,80539.48,798,0
Rex Marks,826,0,59221.05,393,0,62635.340000000004,623,0,40222.15,417,0,54968.11,464,0,85185.52,848,0
Leonidas Quinn,827,0,80961.66,181,0,20478.5,199,0,74294.48,735,0,51521.770000000004,495,0,56128.700000000004,560,0
Ellis Noble,828,0,44736.31,545,0,43178.38,438,0,25928.95,255,0,40648.36,595,0,15605.57,150,0
Jake Rollins,829,0,75221.29000000001,239,0,39853.42,409,0,35451.99,361,0,24974.47,752,0,60848.97,594,0
Brendan Mcclain,830,0,60024.24,389,0,9923.18,100,0,84936.2,845,0,82213.46,184,0,71133.46,701,0
Hanna Pope,831,0,90370.5,92,0,93372.83,918,0,92899.39,924,0,51017.65,499,0,83624.91,838,0
Shannon Krause,832,0,77447.91,214,0,31241.64,327,0,63208.78,634,0,37180.38,634,0,33298.41,323,0
Jackson Gay,833,0,69810.75,299,0,96470.63,964,0,86075.57,858,0,87920.8,135,0,89440.18000000001,888,0
Rylee Delgado,834,0,24519.24,724,0,87026.84,858,0,79630.51,794,0,68244.29000000001,328,0,82754.05,829,0
Nathan Branch,835,0,69329.4,302,0,31034.52,321,0,8242.04,81,0,43525.56,567,0,62486.54,603,0
Blake Burke,836,0,33286.76,645,0,99401.82,993,0,92685.14,923,0,17706.56,827,0,93661.88,935,0
Nikhil Randolph,837,0,99075.16,12,0,90359.77,895,0,52840.35,541,0,92702.82,84,0,87078.25,870,0
Violet Nash,838,0,20170.84,770,0,67308.69,668,0,71484.99,720,0,88434.25,128,0,58234.62,574,0
Miriam Obrien,839,0,88223.13,109,0,25000.28,248,0,53628.06,550,0,86140.74,149,0,94657.45,943,0
Leandro Burns,840,0,59073.450000000004,395,0,1589.54,21,0,69227.67,693,0,4117.49,965,0,26204.43,246,0
Tatum Lamb,841,0,98949.49,14,0,20752.58,203,0,79370.28,791,0,87518.08,143,0,66978.43000000001,660,0
Ryan Terry,842,0,90931.58,86,0,3814.67,44,0,41927.33,438,0,40056.81,605,0,96314.82,965,0
Melina Jennings,843,0,68431.72,311,0,53476.92,531,0,98263.89,985,0,73898.86,271,0,50472.83,504,0
Amir Wright,844,0,49807.49,499,0,79586.0,790,0,83082.81,829,0,99085.8,7,0,2746.8,22,0
Rayan Curry,845,0,6957.96,907,0,48358.9,478,0,7653.62,73,0,97674.28,24,0,25329.28,235,0
Allie Burton,846,0,12873.720000000001,840,0,64234.950000000004,635,0,20393.58,198,0,9468.710000000001,914,0,98503.48,991,0
Barrett Bird,847,0,59725.96,390,0,66913.31,665,0,92104.65000000001,915,0,96530.59,38,0,7993.9800000000005,70,0
Laci Buck,848,0,35329.99,622,0,14052.35,139,0,41327.950000000004,433,0,10768.22,898,0,70769.83,698,0
Cloe Caldwell,849,0,21088.63,759,0,33659.63,353,0,33458.23,337,0,65137.01,357,0,6128.93,48,0
Chloe Hart,850,0,5076.96,924,0,78281.65000000001,771,0,22432.62,221,0,49419.43,515,0,88266.3,882,0
Kelsey Mooney,851,0,68938.56,308,0,67681.2,674,0,65620.26,658,0,88423.69,129,0,1304.5,11,0
Destiny Hoffman,852,0,16646.41,792,0,11697.28,119,0,90584.43000000001,902,0,56974.44,442,0,41414.54,409,0
Randy Davies,853,0,25553.79,711,0,70640.69,702,0,49190.86,512,0,30775.34,687,0,87994.68000000001,879,0
Valery Riddle,854,0,71768.19,279,0,97450.86,971,0,94867.77,951,0,86969.28,146,0,97722.07,980,0
Charlie Torres,855,0,71468.39,282,0,89538.97,890,0,22671.06,224,0,31682.38,680,0,32736.52,316,0
Zayne Villanueva,856,0,48700.71,515,0,60462.21,594,0,14328.720000000001,137,0,61448.04,388,0,14574.83,138,0
Jaylen Branch,857,0,49466.46,501,0,90676.36,897,0,21456.07,212,0,55055.380000000005,461,0,42752.07,426,0
Tony Villanueva,858,0,33450.53,643,0,78084.57,768,0,7973.9400000000005,78,0,45217.9,552,0,16616.91,163,0
Gracie Berg,859,0,85280.74,143,0,4795.61,59,0,19453.600000000002,194,0,76287.1,244,0,23303.25,219,0
Silas Kim,860,0,74671.40000000001,249,0,79432.43000000001,786,0,15314.32,148,0,9879.01,907,0,16429.56,159,0
Triston Fry,861,0,20456.05,766,0,40310.0,412,0,33894.590000000004,344,0,58145.67,431,0,23831.48,222,0
Yuliana Dawson,862,0,34009.86,640,0,31032.47,320,0,91893.26,910,0,57630.87,435,0,47876.92,469,0
Aurora English,863,0,16356.79,793,0,99448.32,997,0,80092.33,798,0,42412.340000000004,574,0,52196.75,518,0
Isabel Lowe,864,0,34090.3,638,0,42478.67,435,0,5203.83,44,0,13247.29,875,0,9132.11,82,0
Amiah Wang,865,0,10739.28,873,0,54306.61,538,0,42070.840000000004,439,0,46073.55,542,0,10792.59,94,0
Lauren Sandoval,866,0,19869.170000000002,772,0,74706.3,745,0,28134.57,275,0,93485.64,78,0,21215.920000000002,202,0
Cayden Mendoza,867,0,69137.42,305,0,83064.37,822,0,47577.35,499,0,3466.53,972,0,93194.49,931,0
Jazmine Dean,868,0,51983.16,475,0,29621.09,303,0,28614.5,284,0,69335.81,317,0,85227.81,849,0
Davon Wilcox,869,0,28022.13,685,0,87430.05,864,0,96113.88,961,0,16224.18,844,0,595.65,5,0
Tommy Ingram,870,0,11758.17,859,0,30164.3,312,0,23884.06,237,0,94374.87,66,0,48024.14,470,0
Carsen Bruce,871,0,77027.52,220,0,551.27,9,0,39994.16,413,0,34328.48,657,0,98877.65000000001,996,0
Reginald Hale,872,0,56715.98,426,0,64354.97,637,0,71254.91,718,0,52070.82,491,0,43778.55,434,0
Avery Compton,873,0,21608.9,754,0,80241.91,795,0,21075.13,209,0,5171.31,957,0,74953.63,739,0
Kiana Walker,874,0,14234.49,825,0,92912.57,914,0,5113.12,43,0,73278.92,283,0,76411.25,750,0
Harley Austin,875,0,97840.79000000001,25,0,31436.28,332,0,51346.0,532,0,73302.95,282,0,65993.52,646,0
Efrain Lopez,876,0,99270.61,10,0,58700.47,581,0,14464.91,140,0,93859.11,73,0,2812.7200000000003,23,0
Wyatt Craig,877,0,54150.380000000005,456,0,40885.28,416,0,85983.21,856,0,68457.21,322,0,53002.380000000005,530,0
Lennon Rose,878,0,5651.41,917,0,79535.99,788,0,80948.71,807,0,1506.78,989,0,55671.87,552,0
Carla Ballard,879,0,28634.99,678,0,70647.95,703,0,11661.57,110,0,16666.95,839,0,82942.54000000001,832,0
Rebekah Montoya,880,0,21687.11,753,0,4339.67,51,0,68216.23,686,0,75123.68000000001,256,0,21343.3,203,0
Mohammed Willis,881,0,3262.7200000000003,953,0,58316.41,578,0,18617.66,187,0,74187.99,266,0,97851.85,981,0
Barrett Wallace,882,0,2772.48,963,0,82904.93000000001,819,0,53285.11,544,0,29668.420000000002,698,0,58374.81,579,0
Yasmin Arroyo,883,0,13573.6,829,0,52466.43,521,0,14749.210000000001,145,0,42392.4,575,0,35603.44,345,0
Nico Kerr,884,0,16011.98,800,0,65301.6,645,0,78844.77,786,0,37478.53,631,0,2300.94,19,0
Aimee Ramos,885,0,78295.96,202,0,77325.62,764,0,82462.59,825,0,62255.97,381,0,34965.39,339,0
Christian Velazquez,886,0,22566.02,742,0,14516.93,141,0,86120.38,860,0,49064.04,520,0,70896.43000000001,699,0
Sullivan Delacruz,887,0,26160.940000000002,704,0,27477.62,275,0,14882.01,146,0,97466.31,29,0,56477.07,565,0
Jeffery Rosales,888,0,41190.840000000004,576,0,36621.3,379,0,66769.63,669,0,20044.420000000002,807,0,35980.520000000004,348,0
Charlee Long,889,0,40688.86,581,0,30677.33,315,0,35675.72,364,0,44679.25,556,0,82468.74,826,0
Terrance Wolfe,890,0,76558.07,226,0,49109.96,492,0,85378.85,849,0,79645.05,213,0,15382.29,147,0
Bailey Meyers,891,0,26420.18,702,0,10927.01,108,0,36245.78,370,0,16461.19,842,0,62942.950000000004,611,0
Milagros Strickland,892,0,90888.03,88,0,86801.39,853,0,1756.41,23,0,94372.56,67,0,77024.47,761,0
Deborah Navarro,893,0,69839.14,298,0,31095.29,324,0,20646.24,203,0,27984.05,725,0,44070.93,438,0
Noel Hughes,894,0,12821.17,842,0,23758.31,237,0,35763.18,365,0,68431.74,323,0,42346.85,419,0
Malakai Schroeder,895,0,63995.85,353,0,69380.83,691,0,24477.8,243,0,62370.450000000004,380,0,8744.65,79,0
Kailey Sloan,896,0,83354.40000000001,157,0,52973.51,526,0,35116.21,358,0,71738.42,294,0,54540.17,544,0
Kendrick Henry,897,0,49317.44,505,0,85405.23,837,0,18256.39,184,0,68515.2,321,0,56031.76,558,0
Seth Hester,898,0,66716.55,323,0,24708.75,244,0,51463.07,534,0,14177.16,871,0,37968.83,371,0
Shiloh Meyers,899,0,67209.07,318,0,33451.54,351,0,74038.06,733,0,17284.73,831,0,76344.09,748,0
Georgia Bernard,900,0,49359.05,504,0,78384.76,774,0,22766.44,225,0,87613.43000000001,139,0,97056.46,971,0
Taylor Paul,901,0,29894.32,662,0,37872.6,385,0,7946.18,76,0,82261.58,183,0,92009.68000000001,923,0
Hayden Herman,902,0,14712.02,818,0,94569.90000000001,932,0,49399.66,514,0,97622.51,25,0,52466.29,521,0
Titus Eaton,903,0,16945.16,791,0,29018.9,294,0,99289.82,997,0,2917.59,978,0,2505.98,20,0
Adonis Berry,904,0,37936.29,594,0,35818.89,373,0,32663.64,329,0,89354.26,113,0,66189.17,649,0
Trystan Peck,905,0,5343.57,922,0,88438.56,878,0,23880.59,236,0,38079.47,623,0,28015.57,259,0
Katrina Sweeney,906,0,93694.65000000001,59,0,16664.13,161,0,50855.520000000004,528,0,76371.65000000001,243,0,24469.5,229,0
Sienna Gibson,907,0,30773.98,657,0,99572.68000000001,998,0,79602.88,793,0,93446.84,79,0,40499.67,395,0
Alberto Patrick,908,0,59439.43,392,0,34833.37,364,0,58852.130000000005,598,0,46480.97,536,0,12047.050000000001,111,0
Phoebe Anderson,909,0,1137.05,985,0,605.83,10,0,32653.89,328,0,74043.36,269,0,1579.74,13,0
Deborah House,910,0,73645.21,257,0,60228.06,592,0,23454.760000000002,229,0,2808.19,980,0,4508.83,39,0
Ryann Wagner,911,0,85373.0,140,0,89371.97,889,0,94155.05,946,0,58289.91,430,0,97701.82,979,0
Desirae Smith,912,0,54087.61,458,0,31437.87,333,0,83089.89,830,0,51454.85,496,0,79798.13,793,0
Jack Shepard,913,0,34514.36,630,0,72238.28,718,0,53211.3,543,0,90689.21,104,0,26280.54,248,0
Christina Baxter,914,0,22679.05,740,0,94421.07,930,0,33311.91,334,0,84334.31,160,0,47750.18,467,0
Jillian Mccullough,915,0,55278.91,443,0,62426.01,620,0,91105.19,906,0,54955.87,465,0,78018.91,776,0
Miguel Bautista,916,0,43379.43,559,0,23958.34,242,0,11778.35,111,0,41103.200000000004,588,0,15781.94,152,0
Desmond Hull,917,0,28521.93,681,0,41878.94,428,0,42798.6,449,0,15032.83,860,0,81102.65000000001,804,0
Zaria Morse,918,0,84937.52,147,0,8474.710000000001,86,0,714.5,4,0,23687.68,769,0,3487.85,32,0
Lennon Spence,919,0,11792.880000000001,858,0,99070.97,989,0,59107.630000000005,599,0,10686.12,902,0,52475.8,522,0
Cynthia Forbes,920,0,20444.2,768,0,88183.7,873,0,2979.9900000000002,36,0,27038.43,731,0,66533.33,656,0
Nylah Beasley,921,0,16949.9,790,0,67361.85,669,0,85575.16,853,0,89540.5,110,0,89450.47,889,0
Jovanny Robertson,922,0,97868.69,23,0,50077.29,503,0,78741.68000000001,785,0,82134.63,185,0,4765.6,41,0
Saniyah Hoffman,923,0,69345.65,301,0,54833.770000000004,542,0,38235.840000000004,392,0,79382.1,219,0,31170.78,299,0
Amari Atkinson,924,0,74692.94,248,0,27651.04,277,0,22491.77,223,0,17389.37,830,0,52349.76,520,0
Yandel Patel,925,0,63904.04,354,0,524.75,8,0,81317.61,817,0,71079.26,300,0,76085.14,746,0
Brayan Hodge,926,0,65146.25,340,0,47091.67,469,0,90237.2,897,0,97053.93000000001,31,0,88481.45,883,0
